sep=;
Applied potential [V];WE current [A];WE current [A];WE current [A]
-0.14989;2.43139e-07;7.579653600000001e-08;-1.67343e-07
-0.148815;2.4302999999999997e-07;7.6452784e-08;-1.66577e-07
-0.14774099999999998;2.42483e-07;7.689028e-08;-1.65593e-07
-0.146666;2.42483e-07;7.743716e-08;-1.65046e-07
-0.145592;2.42483e-07;7.80934e-08;-1.64389e-07
-0.144517;2.42373e-07;7.864028e-08;-1.63733e-07
-0.143443;2.42264e-07;7.918714400000001e-08;-1.63077e-07
-0.142368;2.42483e-07;7.98434e-08;-1.62639e-07
-0.141294;2.42373e-07;8.039026400000001e-08;-1.61983e-07
-0.14021899999999998;2.4270199999999997e-07;8.1155888e-08;-1.61546e-07
-0.139145;2.4270199999999997e-07;8.181213600000001e-08;-1.60889e-07
-0.13807;2.43139e-07;8.257776e-08;-1.60561e-07
-0.136996;2.43467e-07;8.334338400000001e-08;-1.6012399999999999e-07
-0.135921;2.43686e-07;8.399963200000001e-08;-1.59686e-07
-0.134847;2.44342e-07;8.487462400000001e-08;-1.59468e-07
-0.133772;2.44889e-07;8.574961600000001e-08;-1.59139e-07
-0.13269799999999998;2.45436e-07;8.651524e-08;-1.58921e-07
-0.131623;2.4620199999999997e-07;8.739023200000001e-08;-1.58811e-07
-0.130549;2.46748e-07;8.826523200000001e-08;-1.58483e-07
-0.129474;2.47623e-07;8.924960000000001e-08;-1.5837399999999999e-07
-0.1284;2.48498e-07;9.012460000000001e-08;-1.5837399999999999e-07
-0.127326;2.49483e-07;9.1108976e-08;-1.5837399999999999e-07
-0.126251;2.50248e-07;9.198396000000001e-08;-1.58264e-07
-0.12517699999999998;2.51233e-07;9.2968336e-08;-1.58264e-07
-0.12410199999999999;2.52545e-07;9.406208000000001e-08;-1.58483e-07
-0.123028;2.5385799999999997e-07;9.5155824e-08;-1.58702e-07
-0.12195299999999999;2.54951e-07;9.624956800000001e-08;-1.58702e-07
-0.120879;2.56264e-07;9.745268800000001e-08;-1.58811e-07
-0.119804;2.57795e-07;9.832768800000001e-08;-1.59468e-07
